,en,de,fr,es
Level2,Mom's Stage destructed,Mom's Stage: durchlöchert,Mom's Stage ][,Mom's Stage ][
Level3,Mom's Stage  ( remake  of  old  »Kugel 1« ),Mamas Level  ( aus  »Kugel 1« ),Mom's Stage (remake de l'ancien »Kugel 1«),Mom's Stage (remake del viejo »Kugel 1«)
Level4,TURAS,TURAS,TURAS,TURAS
Level5,This  will  be  fun  -  when  it is  done !   :-),(noch nicht fertig),Ce sera amusant - quand ce sera fait ! :-),sin completar
Score,points,Punkte,score,puntaje
Attention,Attention!,Achtung!,Danger!,¡Peligro!
no_network,"There's no network connection available.\nYou won't see the highscores,\nbut yours will be uploaded next time you're online.","Internetverbindung nicht erkannt!\nDu wirst die Bestenliste nicht sehen können,\naber deine Punkte werden hochgeladen,\nwenn du nächstes mal online bist.","Aucune connexion réseau n'est disponible.\nVous ne verrez pas les meilleurs scores,\nmais votre score sera téléchargé la prochaine fois que vous serez en ligne.","No hay conexión de red disponible.\nNo verás las puntuaciones más altas,\npero tu puntuación se cargará la próxima vez que estés en línea."
network_ok,found the internet out there  :-),das Internet wurde gefunden!,l'internet a été trouvé!,¡Internet fue encontrado!
CheckInternetConnection_lblTitle,checking internet connection …,Suche das Internet …,Chercher sur Internet...,Busca en internet...
TryAgain,try again,nochmal versuchen,essayer à nouveau,intentar otra vez
JustPractise,go on offline,offline spielen,jouer déconnecté,jugar fuera de línea
Settings,settings,Einstellungen,paramètres,ajustes
Start_Game,play !,spielen !,jouer !,jugar !
Quit,quit  :-(,beenden  :-(,fin :-(,fin :-(
Settings_DisplayName,user name,angezeigter Name,Nom affiché,Nombre mostrado
Settings_LowGraphics,less graphic effects,weniger Grafikeffekte,moins d'effets graphiques,menos efectos gráficos
Settings_HighGraphics,all graphic effects,alle Grafikeffekte,tous les effets graphiques,todos los efectos gráficos
Settings_Graphics,graphics,Grafik,graphique,gráficos
Settings_VolumeMaster,master volume,Gesamtlautstärke,volume principal,volumen principal
Settings_VolumeMusic,music volume,Musiklautstärke,volume de la musique,Volumen de la música
Settings_VolumeSound,sound volume,Soundlautstärke,volume sonore,volumen de sonido
Settings_ShowHints,useful hints,nützliche Hinweise,conseils utiles,consejos útiles
Settings_Show,show,anzeigen,montrer,espectáculo
Settings_Hide,hide,nicht anzeigen,cacher,esconder
Settings_Language,language,Sprache,Langue,Idioma
OK,Okay,Okay,D'accord,Bueno
CANCEL,Cancel,Abbrechen,Annuler,Cancelar
go_on,go on playing,weiterspielen,continue à jouer,sigue jugando
Hint1,move with mobile sensor\ncatch the green ball\navoid the cubes\ndon't fall\nget points,Bewegen mit Handysensor\ngrüne Kugel einsammeln\nWürfel vermeiden\nnicht herunterfallen\nPunkte sammeln,déplacez-vous avec le capteur mobile\attrapez la balle verte\évitez les anguleux\ne tombez pas\nobtenez des points,muévete con el sensor del móvil\atrapa la bola verde\evita los angulares\no te caigas\nconsigue puntos
Hint2,move with mobile sensor\ncatch the green ball\navoid the cubes\ndon't fall\nget points,Bewegen mit Handysensor\ngrüne Kugel einsammeln\nlila Würfel vermeiden\nnicht herunterfallen\nPunkte sammeln,déplacez-vous avec le capteur mobile\attrapez la balle verte\évitez les anguleux\ne tombez pas\nobtenez des points,muévete con el sensor del móvil\atrapa la bola verde\evita los angulares\no te caigas\nconsigue puntos
Hint3,move with mobile sensor\ncatch the green ball\navoid the red cubes\nget points,Bewegen mit Handysensor\ngrüne Kugel einsammeln\nWürfel vermeiden\nPunkte sammeln\nNicht mehr Punkte als Karin sammeln ,déplacez-vous avec le capteur mobile\attrapez la balle verte\évitez les anguleux\ne tombez pas\nobtenez des points,déplacez-vous avec le capteur mobile\nattrapez la balle verte\névitez les rouges\nobtenez des points
Hint4,move with mobile sensor\ncatch the green ball\navoid the cubes\ndon't fall\nget points,Bewegen mit Handysensor\ngrüne Kugel einsammeln\nWürfel vermeiden\nnicht herunterfallen\nPunkte sammeln,déplacez-vous avec le capteur mobile\attrapez la balle verte\évitez les anguleux\ne tombez pas\nobtenez des points,muévete con el sensor del móvil\atrapa la bola verde\evita los angulares\no te caigas\nconsigue puntos
Hint5,this level doesn't exist yet!,Dieses Level existiert noch nicht!,ce niveau n'existe pas encore !,¡Este nivel aún no existe!
yes,yes,ja,oui,Sí
no,no,nein,no,No
update_available,There is a newer version available.\nDo you want to download it?,Es ist eine neuere Version verfügbar.\nMöchten Sie sie herunterladen?,Une version plus récente est disponible.\nVoulez-vous la télécharger ?,Hay una versión más nueva disponible.\n¿Quieres descargarla?
search_update,Searching for updates…,Such nach updates….,Vérification des mises à jour…,Comprobando actualizaciones...
loading_update,Downloading update file…\nplease wait.,Update wird heruntergeladen...\nBitte warten.,Téléchargement du fichier de mise à jour…\nveuillez patienter.,Descargando archivo de actualización...\npor favor espere.
